transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
56,46,108,1,1,-,-0.5,2,2,1,-,0.5,2,1310169304.6370003,1.728
57,3,39,1,1,+,-1.5,1,2,1,+,-0.5,2,1334121327.538,1.723
58,45,107,1,1,-,-1.5,1,2,1,-,-0.5,2,1310169327.538,1.723
59,38,2,2,1,+,-1.5,2,1,1,+,-0.5,1,-1334121334.4250002,1.707
60,106,44,2,1,-,-1.5,2,1,1,-,-0.5,1,-1310169334.425,1.707
61,14,8,1,0,+,-0.5,2,1,0,+,0.5,1,-65.94400000572205,1.686
62,66,58,3,3,+,2.5,3,3,3,+,3.5,2,-89.96399974822998,1.679
63,72,69,3,3,+,-1.5,4,3,3,+,-0.5,3,-48.70599985122681,1.672
64,3,35,1,1,+,-1.5,1,2,1,+,-0.5,1,1334121273.4480002,1.65
65,45,103,1,1,-,-1.5,1,2,1,-,-0.5,1,1310169273.448,1.65
66,60,59,3,3,+,1.5,2,3,3,+,2.5,2,-4.72599983215332,1.641
67,16,7,1,0,+,0.5,3,1,0,+,1.5,1,-95.27599999308586,1.628
68,28,118,0,0,-,1.5,1,2,0,-,2.5,2,1965253956.214,1.624
69,29,124,0,0,-,0.5,1,2,0,-,1.5,3,1965254007.531,1.619
70,35,1,2,1,+,-0.5,1,1,1,+,0.5,1,-1334121287.39,1.619
71,103,43,2,1,-,-0.5,1,1,1,-,0.5,1,-1310169287.3899999,1.619
72,31,128,0,0,-,-1.5,1,2,0,-,-0.5,4,1965254015.6330001,1.616
73,23,91,2,2,+,-2.5,1,3,2,+,-1.5,1,2000341921.5400002,1.607
74,82,83,2,2,-,-1.5,2,2,2,-,-0.5,2,0.8129997253417969,1.597
75,24,25,2,2,+,-1.5,2,2,2,+,-0.5,2,0.812999963760376,1.597
76,36,4,2,1,+,-1.5,1,1,1,+,-0.5,2,-1334121254.799,1.567
77,104,46,2,1,-,-1.5,1,1,1,-,-0.5,2,-1310169254.799,1.567
78,31,126,0,0,-,-1.5,1,2,0,-,-0.5,3,1965253981.186,1.56
79,70,62,3,3,+,-1.5,3,3,3,+,-0.5,2,-78.67600011825562,1.555
80,117,123,2,0,-,-3.5,1,2,0,-,-2.5,2,68.19099998474121,1.546
81,58,48,3,3,+,3.5,2,3,3,+,4.5,1,-110.55900001525879,1.544
82,7,6,1,0,+,1.5,1,1,0,+,2.5,1,-9.180000007152557,1.54
83,125,28,2,0,-,0.5,3,0,0,-,1.5,1,-1965254024.3950002,1.532
84,117,116,2,0,-,-3.5,1,2,0,-,-2.5,1,-8.269999980926514,1.5
85,65,64,3,3,+,-3.5,2,3,3,+,-2.5,2,-6.056000232696533,1.481
86,64,63,3,3,+,-2.5,2,3,3,+,-1.5,2,-5.721999645233154,1.479
87,61,67,3,3,+,0.5,2,3,3,+,1.5,3,77.24199962615967,1.476
88,12,6,1,0,+,1.5,2,1,0,+,2.5,1,-63.27099999785423,1.475
89,69,74,3,3,+,-0.5,3,3,3,+,0.5,4,60.73099994659424,1.474
90,116,115,2,0,-,-2.5,1,2,0,-,-1.5,1,-8.07200002670288,1.461
91,75,66,3,3,+,1.5,4,3,3,+,2.5,3,-70.79699993133545,1.444
92,15,14,1,0,+,-1.5,2,1,0,+,-0.5,2,-13.766999989748001,1.441
